rank,name,series,kakera
619,Haruka Tenou,Pretty Soldier Sailor Moon,162
620,Mereoleona Vermillion,Black Clover,203
621,Muzan Kibutsuji,Kimetsu no Yaiba,229
622,Son Gohan,Dragon Ball Z,290
623,Stephanie Dola,No Game No Life,191
624,Freddy Fazbear,Five Nights at Freddy's 1,217
625,Espeon,Pokédex,143
626,Xenomorph,Alien,136
627,Bayonetta,Bayonetta,263
628,Wendy Marvell,Fairy Tail,203
629,Tetsurou Kuroo,Haikyuu!!,270
630,Thorfinn,Vinland Saga,268
631,Roy Mustang,Fullmetal Alchemist,277
632,Osaka,Azumanga Daioh,188
633,Juuzou Suzuya,Tokyo Ghoul,257
634,Ciel Phantomhive,Black Butler,260
635,Makomo,Kimetsu no Yaiba,160
636,Origami Tobiichi,Date A Live,209
637,Isla,Plastic Memories,220
638,Sans,UNDERTALE,310
639,Acheron,Honkai: Star Rail,249
640,Hinatsuru,Kimetsu no Yaiba,143
641,Nanashi Mumei,hololive,201
642,Enderman,Minecraft,110
643,Le Monke,🤔,116
644,Yoichi Isagi,Blue Lock,265
645,Minato Namikaze,Naruto,261
646,Haruhi Suzumiya,Suzumiya Haruhi no Yuuutsu,207
647,Ryuk,Death Note,249
648,Ramona Flowers,Scott Pilgrim,197
649,Genos,One Punch Man,274
650,Okita Souji,Fate/KOHA-ACE,195
651,Sabo,One Piece,245
652,Yuri,Doki Doki Literature Club!,286
653,Miles 'Tails' Prower,Sonic the Hedgehog 2,214
654,Leorio Paladiknight,Hunter × Hunter,237
655,Luigi,Super Mario Bros.,253
656,Rin Okumura,Ao no Exorcist,258
657,Koutarou Bokuto,Haikyuu!!,252
658,Chocola,Nekopara,211
659,Inuyasha,InuYasha,255
660,Shirahoshi,One Piece,162
661,Ash Lynx,Banana Fish,259
662,Sōsuke Aizen,BLEACH,270
663,Death the Kid,Soul Eater,265
664,Karma Akabane,Assassination Classroom,278
665,Mavis Dracula,Hotel Transylvania,135
666,Nessa,Pokémon Sword/Shield,199
667,San,Princess Mononoke,198
668,Rise Kujikawa,Persona 4,183
669,Kaeya,Genshin Impact,287
670,Aira Shiratori,Dandadan,139
671,Tamamo no Mae,Fate/EXTRA,190
672,Noriaki Kakyoin,JoJo's Bizarre Adventure: Stardust Crusaders,259
673,Natsuki,Doki Doki Literature Club!,274
674,Vanitas,Vanitas no Carte,265
675,Alice Zuberg,Sword Art Online,165
676,Mario,Super Mario Bros.,270
677,Douma,Kimetsu no Yaiba,232
678,Kris,DELTARUNE,199
679,Hanabi Hyuuga,Naruto,172
680,Ghislaine Dedoldia,Mushoku Tensei,180
681,Miko Yotsuya,Mieruko-chan,191
682,Shylily,Independent Virtual YouTubers,176
683,Celty Sturluson,Durarara!!,196
684,Sayori,Doki Doki Literature Club!,271
685,Shizue Izawa,Tensei shitara Slime Datta Ken,175
686,Kurome,Akame ga Kill!,182
687,Lola Bunny,Space Jam,148
688,The World,JoJo's Bizarre Adventure: Stardust Crusaders,122
689,Genocider Syo,Danganronpa: Trigger Happy Havoc,178
690,Nana Komatsu,Nana,202
691,Tokoyami Towa,hololive,185
692,Arcueid Brunestud,Tsukihime,172
693,Inori Yuzuriha,Guilty Crown,212
694,Maika Sakuranomiya,Blend S,175
695,Yoshino,Date A Live,228
696,Neptune,Hyperdimension Neptunia,211
697,Kosaki Onodera,Nisekoi,199
698,Squirtle,Pokédex,124
699,Shishiro Botan,hololive,189
700,Tooru Hagakure,Boku no Hero Academia,156
701,Ami Mizuno,Pretty Soldier Sailor Moon,166
702,Vinsmoke Reiju,One Piece,170
703,Killer Queen,JoJo's Bizarre Adventure: Diamond Is Unbreakable,123
704,Akai Haato,hololive,177
705,Retsu Unohana,BLEACH,184
706,Gintoki Sakata,Gintama,239
707,Artoria Pendragon (Lancer),Fate/Grand Order,156
708,Yukari Takeba,Persona 3,172
709,Lugia,Pokédex,134
710,Kagome Higurashi,InuYasha,176
711,Shikanoko Noko,Shikanoko Nokonoko Koshitantan,163
712,Momo Belia Deviluke,To LOVE-Ru,203
713,Sayaka Maizono,Danganronpa: Trigger Happy Havoc,167
714,Seiko Ayase,Dandadan,173
715,Ryu Lion,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,191
716,Yoshikage Kira,JoJo's Bizarre Adventure: Diamond Is Unbreakable,251
717,SpongeBob SquarePants,SpongeBob SquarePants,247
718,Ivan,ALIEN STAGE,248
719,Fluttershy,My Little Pony: Friendship Is Magic,217
720,Tamaki Amajiki,Boku no Hero Academia,246
721,Morgiana,Magi,222
722,Sakuya Izayoi,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,223
723,Rindou Kobayashi,Shokugeki no Souma,193
724,Hakos Baelz,hololive,172
725,Kotori Itsuka,Date A Live,195
726,Claire Redfield,Resident Evil 2,179
727,Kaedehara Kazuha,Genshin Impact,269
728,Mio Naruse,Shinmai Maou no Testament,195
729,Trish Una,JoJo's Bizarre Adventure: Golden Wind,182
730,Emu Otori,Project SEKAI: Colorful Stage!,224
731,William Afton,Five Nights at Freddy's 2,187
732,Lisa,Genshin Impact,254
733,Darth Vader,Star Wars Original Trilogy,224
734,Glaceon,Pokédex,139
735,Rossweisse,High School DxD,180
736,Pain,Naruto,237
737,Seishiro Nagi,Blue Lock,236
738,Knuckles the Echidna,Sonic the Hedgehog 3,190
739,Finn,Adventure Time,224
740,Super Sonico,Nitroplus Mascots,173
741,Evangelion Unit-02,Neon Genesis Evangelion,103
742,Aether,Genshin Impact,219
743,Albedo (GI),Genshin Impact,241
744,Kaworu Nagisa,Neon Genesis Evangelion,235
745,The Joker,DC,185
746,Yoriichi Tsugikuni,Kimetsu no Yaiba,186
747,Polish Cow,🤔,82
748,Murata Himeko,Honkai Impact 3rd,160
749,2D,Gorillaz,182
750,Pyro,Team Fortress 2,143
751,Ryuunosuke Akutagawa,Bungou Stray Dogs,228
752,Mako Mankanshoku,Kill la Kill,194
753,Firefly,Honkai: Star Rail,221
754,Chel,The Road to El Dorado,145
755,Ikumi Mito,Shokugeki no Souma,172
756,Ayane Shirakawa,Overflow ~Iretara Afureru Shimai no Kimochi~,198
757,Scarlet Witch (Wanda Maximoff),Marvel,187
758,Hanami,Jujutsu Kaisen,110
759,Kokushibou,Kimetsu no Yaiba,209
760,Hua Cheng,Tian Guan Ci Fu,247
761,Ditto,Pokédex,134
762,Senpai (TS),Tejina-senpai,167
763,Keqing,Genshin Impact,260
764,Komi Shuuko,"Komi-san wa, Comyushou desu.",121
765,Rika Orimoto,Jujutsu Kaisen,131
766,Gilgamesh,Fate/stay night,258
767,Lumine,Genshin Impact,239
768,Frederica Baumann,Re:Zero kara Hajimeru Isekai Seikatsu,138
769,Arthur Morgan,Red Dead Redemption 2,232
770,Aki Adagaki,Masamune-kun no Revenge,167
771,Koro-sensei,Assassination Classroom,228
772,Mahiru Shiina,Otonari no Tenshi-sama ni Itsu no Ma ni ka Dame Ningen ni Sareteita Ken,193
773,Carnage,Marvel,136
774,MEIKO,VOCALOID,196
775,Meiko Honma,Anohana: The Flower We Saw That Day,177
776,The Hollow Knight,Hollow Knight,162
777,Gyoumei Himejima,Kimetsu no Yaiba,183
778,Ironmouse,Independent Virtual YouTubers,190
779,Cinnamoroll,Cinnamoroll,199
780,Shouya Ishida,Koe no Katachi,202
781,Tet,No Game No Life,151
782,Kamisato Ayaka,Genshin Impact,249
783,Pikachu,Pokémon: Indigo League,268
784,Rei Miyamoto,Highschool of the Dead,148
785,Flame Princess,Adventure Time,147
786,Takina Inoue,Lycoris Recoil,175
787,Frisk,UNDERTALE,191
788,Kizuna AI,Kizuna AI Inc.,173
789,Narberal Gamma,Overlord,176
790,Atsushi Nakajima,Bungou Stray Dogs,220
791,Levy McGarden,Fairy Tail,178
792,Bambietta Basterbine,BLEACH,145
793,GIR,Invader Zim,157
794,Chara,UNDERTALE,204
795,Lala Satalin Deviluke,To LOVE-Ru,189
796,Bruno Bucciarati,JoJo's Bizarre Adventure: Golden Wind,228
797,Sarada Uchiha,Boruto: Naruto Next Generations,157
798,Misaki Ayuzawa,Kaichou wa Maid-sama!,184
799,Yami Yugi,Yu-Gi-Oh! Duel Monsters,187
800,Lust,Fullmetal Alchemist,174
801,SCP-049,SCP Foundation,141
802,Soul Eater Evans,Soul Eater,233
803,Alphonse Elric,Fullmetal Alchemist,228
804,Irina Jelavić,Assassination Classroom,171
805,Ciri,The Witcher,172
806,Sanic,🤔,156
807,Akira Fudou,Devilman,205
808,Obito Uchiha,Naruto,232
809,Legosi,BEASTARS,245
810,Mona,Genshin Impact,252
811,Tomo Aizawa,Tomo-chan wa Onnanoko!,158
812,Jessica Rabbit,Who Framed Roger Rabbit,136
813,D.Va,Overwatch,232
814,Ookami Mio,hololive,174
815,Angel-chan,NEEDY GIRL OVERDOSE,190
816,Veliona,Honkai Impact 3rd,151
817,Alastor,Hazbin Hotel,230
818,Videl,Dragon Ball Z,171
819,Mei Terumi,Naruto,134
820,Shirogane Noel,hololive,172
821,Yui (SAO),Sword Art Online,162
822,Mavis Vermillion,Fairy Tail,174
823,Twilight Sparkle,My Little Pony: Friendship Is Magic,178
824,Übel,Sousou no Frieren,161
825,Rika Kawai,Wonder Egg Priority,188
826,Alhaitham,Genshin Impact,224
827,Natsumi,Date A Live,169
828,Sophie Hatter,Howl's Moving Castle,164
829,Subaru Natsuki,Re:Zero kara Hajimeru Isekai Seikatsu,245
830,Ponyo,Ponyo,187
831,Abigail Jones,Great Pretender,142
832,Spider Demon (Mother),Kimetsu no Yaiba,132
833,Foxy,Five Nights at Freddy's 1,192
834,Rin Nohara,Naruto,127
835,Sonia Nevermind,Danganronpa 2: Goodbye Despair,186
836,Marcille Donato,Dungeon Meshi,187
837,AE3803,Hataraku Saibou,135
838,Koushi Sugawara,Haikyuu!!,221
839,Gigachad,🤔,148
840,Jewelry Bonney,One Piece,144
841,Yumemi Yumemite,Kakegurui,146
842,Megumi Tadokoro,Shokugeki no Souma,180
843,Biscuit Krueger,Hunter × Hunter,165
844,Seras Victoria,Hellsing,186
845,Caesar A. Zeppeli,JoJo's Bizarre Adventure: Battle Tendency,203
846,Pomni,The Amazing Digital Circus,176
847,Poison Ivy (Pamela Isley),DC,168
848,Princess of Klaxosaurs,DARLING in the FRANXX,151
849,Nagisa Shiota,Assassination Classroom,226
850,Arataki Itto,Genshin Impact,235
851,Elsa,Frozen,161
852,Jeanne,Vanitas no Carte,182
853,Erza Knightwalker,Fairy Tail,118
854,Sakura Miko,hololive,175
855,The Giant Rat That Makes All of the Rules,Rat Movie,146
856,Fami,Chainsaw Man,141
857,Chie Satonaka,Persona 4,174
858,Akita Neru,Fanloid,147
859,Pepe,🤔,203
860,Star Butterfly,Star vs. the Forces of Evil,159
861,Meruccubus,Meru The Succubus,174
862,Kurenai Yuuhi,Naruto,123
863,Sawako Kuronuma,Kimi ni Todoke,186
864,Lady,Devil May Cry 3: Dante's Awakening,168
865,May,Pokémon Ruby/Sapphire/Emerald,184
866,Coraline Jones,Coraline,163
867,Kei Karuizawa,Classroom of the Elite,172
868,Ayame Kajou,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,155
869,Loona,Helluva Boss,188
870,Fiona Frost,SPY×FAMILY,133
871,Freya,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,162
872,Vermeil,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,168
873,Ahsoka Tano,Star Wars: The Clone Wars,158
874,Kanade Yoisaki,Project SEKAI: Colorful Stage!,192
875,Jean,Genshin Impact,234
876,Iron Man (Tony Stark),Marvel,208
877,Jean Kirstein,Attack on Titan,194
878,Reshiram,Pokédex,128
879,Tsunomaki Watame,hololive,172
880,Morgan,Fate/Grand Order,146
881,Rainbow Dash,My Little Pony: Friendship Is Magic,190
882,Xie Lian,Tian Guan Ci Fu,224
883,Bowser,Super Mario Bros.,186
884,Sakura Kinomoto,Cardcaptor Sakura,189
885,Ryuji Sakamoto,Persona 5,207
886,Toothless,How To Train Your Dragon,189
887,Tomoe Koga,Seishun Buta Yarou,157
888,Oozora Subaru,hololive,168
889,Aventurine,Honkai: Star Rail,214
890,Akari Watanabe,"Fuufu Ijou, Koibito Miman.",168
891,Bulbasaur,Pokédex,121
892,Totoro,My Neighbor Totoro,194
893,Mikaela Hyakuya,Owari no Seraph,230
894,Zack,Angels of Death,212
895,Vash the Stampede,Trigun,203
896,Silica,Sword Art Online,155
928,Yoo Joonghyuk,Omniscient Reader's Viewpoint,211
898,Hinata Tachibana,Tokyo卍Revengers,177
899,Sayu Ogiwara,Hige wo Soru. Soshite Joshikosei wo Hiro.,181
900,Yui,Angel Beats!,185
901,Jake,Adventure Time,207
902,IA,VOCALOID,175
903,Quinella,Sword Art Online,149
904,Sword Maiden,Goblin Slayer,149
905,Yelan,Genshin Impact,230
906,Reki Kyan,SK∞,219
907,Ash Ketchum,Pokémon: Indigo League,190
908,Reiner Braun,Attack on Titan,196
909,Adult Neptune,Megadimension Neptunia VII,115
910,Suzuha Amane,Steins;Gate,162
911,Collei,Genshin Impact,146
912,Yuki Nagato,Suzumiya Haruhi no Yuuutsu,190
913,Aoi Akane,Jibaku Shounen Hanako-kun,165
914,Helen Parr,The Incredibles,124
915,Kikuri Hiroi,Bocchi the Rock!,146
916,Kokoro,DARLING in the FRANXX,145
917,Kyouka Izumi,Bungou Stray Dogs,175
918,Kefla,Dragon Ball Super,157
919,Till,ALIEN STAGE,218
920,Pinkie Pie,My Little Pony: Friendship Is Magic,179
921,Mai,Avatar: The Last Airbender,178
922,Kim Possible,Kim Possible,139
923,Ainz Ooal Gown,Overlord,213
924,Kaho Hinata,Blend S,146
925,Rebecca (OP),One Piece,132
926,Kagura,Gintama,174
927,Jinbe,One Piece,199
928,Izuna Hatsuse,No Game No Life,153
929,Crusch Karsten,Re:Zero kara Hajimeru Isekai Seikatsu,148
930,Silver the Hedgehog,Sonic the Hedgehog (2006),167
931,Enkidu,Fate/strange Fake,145
932,Shikamaru Nara,Naruto,212
933,Hitoshi Shinsou,Boku no Hero Academia,197
934,James,Pokémon: Indigo League,178
935,Tashigi,One Piece,137
936,Charlie Morningstar,Hazbin Hotel,158
937,Beidou,Genshin Impact,232
938,Fu Hua,Honkai Impact 3rd,169
939,Rui Tachibana,Domestic na Kanojo,179
940,Konjiki no Yami,To LOVE-Ru,186
941,Kyuubey,Mahou Shoujo Madoka☆Magica,128
942,Steve,Minecraft,220
943,Elysia,Honkai Impact 3rd,204
944,Fischl,Genshin Impact,222
945,Yami Sukehiro,Black Clover,220
946,Wonder Woman (Diana Prince),DC,150
947,Mirio Togata,Boku no Hero Academia,202
948,Mari Makinami Illustrious,Rebuild of Evangelion,130
949,Marinette Dupain-Cheng,Miraculous: Tales of Ladybug & Cat Noir,166
950,Nemu Kurotsuchi,BLEACH,129
951,Ami Kawashima,Toradora!,140
952,Blue-Eyes White Dragon,Yu-Gi-Oh! Duel Monsters,136
953,Aqua Hoshino,【OSHI NO KO】,186
954,Meguru Bachira,Blue Lock,215
955,Marnie,Pokémon Sword/Shield,173
956,Lapis Lazuli,Steven Universe,172
957,Slender Man,Creepypasta,163
958,Ty Lee,Avatar: The Last Airbender,172
959,Koala,One Piece,139
960,Yoimiya,Genshin Impact,218
961,Billie Eilish,Solo Western Musicians,142
962,Amelie Azazel,Mairimashita! Iruma-kun,164
963,Tenten,Naruto,162
964,Haruhi Fujioka,Ouran High School Host Club,194
965,Maki Nishikino,Love Live! School idol project,172
966,Jiraiya,Naruto,198
967,Sadayo Kawakami,Persona 5,149
968,Usagi,Chiikawa,124
969,Langa Hasegawa,SK∞,209
970,Tsubaki Nakatsukasa,Soul Eater,148
971,Leafeon,Pokédex,130
972,Bonnie,Five Nights at Freddy's 1,163
973,Hajime Hinata,Danganronpa 2: Goodbye Despair,206
974,Genya Shinazugawa,Kimetsu no Yaiba,167
975,Grimmjow Jaegerjaquez,BLEACH,191
976,Cinnabar,Houseki no Kuni,146
977,Atsumu Miya,Haikyuu!!,190
978,Michiru Kagemori,BNA: Brand New Animal,173
979,Sae Niijima,Persona 5,150
980,Alpha,Kage no Jitsuryokusha ni Naritakute!,178
981,Mafuyu Asahina,Project SEKAI: Colorful Stage!,189
982,Sabito,Kimetsu no Yaiba,188
983,Sangonomiya Kokomi,Genshin Impact,211
984,Beta,Kage no Jitsuryokusha ni Naritakute!,168
985,Adrien Agreste,Miraculous: Tales of Ladybug & Cat Noir,186
986,Rock Lee,Naruto,202
987,Fionna,Adventure Time,139
988,Elaine,Nanatsu no Taizai,145
989,Joel,The Last of Us Part I,184
990,Blaze the Cat,Sonic Rush,154
991,Kureiji Ollie,hololive,149
992,Toyomi Fujiwara,Kaguya-sama wa Kokurasetai,107
993,Chica,Five Nights at Freddy's 1,139
994,Tomoe,Kamisama Hajimemashita,219
995,Guido Mista,JoJo's Bizarre Adventure: Golden Wind,198
996,Vivy,Vivy -Fluorite Eye's Song-,181
997,Red Hood (Jason Todd),DC,189
998,Catwoman (Selina Kyle),DC,152
999,Shiki Ryougi,Kara no Kyoukai: The Garden of Sinners,157
1000,Gogeta,Dragon Ball Z: Fusion Reborn,190
9508,Audrey Hall,Lord of the Mysteries,0
14017,Fors Wall,Lord of the Mysteries,0
12089,Evernight Goddess,Lord of the Mysteries,0
5272,Klein Moretti,Lord of the Mysteries,0
1353,Ranni,ELDEN RING,0
1140,Rosalina,Super mario galaxy,0
6883,Nekomata,zenless zone zero,0
7932,MAYU,VOCALOID,0
2033,Xianyun,Genshin Impact,0
12619,Hiori Kazano,THE iDOLM@STER Shiny Colors,0
1548,Riyo,Gachiakuta,0
5582,Kitsune Saiguu,Genshin Impact,0
5427,Adam Smasher,Cyberpunk 2077,0
8413,Lauma,Genshin Impact,0
10317,Dorio,Cyberpunk: Edgerunners,0
8887,Maine,Cyberpunk: Edgerunners,0
2570,Kiwi,Cyberpunk: Edgerunners,0
2125,Kuki Shinobu,Genshin Impact,0
1359,Michiru Kaiou,Pretty Soldier Sailor Moon,0
1303,Ushiwakamaru,Fate/Grand Order,0
1317,Semiramis,Fate/Apocrypha,0
964,David Martinez,Cyberpunk: Edgerunners,0
3053,Fujiwara no Mokou,Touhou Eiyashou ~ Imperishable Night,0
10503,Trissy,Lord of the Mysteries,0
12397,Leonard Mitchell,Lord of the Mysteries,0
13846,Amon (LoM),Lord of the Mysteries,0
21182,Medici (LoM),Lord of the Mysteries,0
22422,Alger Wilson,Lord of the Mysteries,0
22691,Emlyn White,Lord of the Mysteries,0
23524,Sharron,Lord of the Mysteries,0
24182,Ouroboros (LoM),Lord of the Mysteries,0
26589,Cattleya (LoM),Lord of the Mysteries,0
29317,Arrodes,Lord of the Mysteries,0
29331,Reinette Tinekerr,Lord of the Mysteries,0
35437,Daly Simone,Lord of the Mysteries,0
37227,Royale Reideen,Lord of the Mysteries,0
38943,Xio Derecha,Lord of the Mysteries,0
40626,Melissa Moretti,Lord of the Mysteries,0
41516,Elizabeth (LoM),Lord of the Mysteries,0
41823,Danitz,Lord of the Mysteries,0
44278,Bernadette Gustav,Lord of the Mysteries,0
44488,True Creator,Lord of the Mysteries,0
44496,Derrick Berg,Lord of the Mysteries,0
45267,Susie (LoM),Lord of the Mysteries,0
50339,Anderson Hood,Lord of the Mysteries,0
50831,Dunn Smith,Lord of the Mysteries,0
53342,Benson Moretti,Lord of the Mysteries,0
53514,Rozanne,Lord of the Mysteries,0
57160,Seeka Tron,Lord of the Mysteries,0
60073,Edwina Edwards,Lord of the Mysteries,0
66194,Azik Eggers,Lord of the Mysteries,0
67311,Viscount Glaint,Lord of the Mysteries,0
73240,Colin Iliad,Lord of the Mysteries,0
76238,Old Neil,Lord of the Mysteries,0
82678,Will Auceptin,Lord of the Mysteries,0
88736,Frank Lee,Lord of the Mysteries,0
91708,Roselle Gustav,Lord of the Mysteries,0
94835,Frye (LoM),Lord of the Mysteries,0
99945,Ademisaul,Lord of the Mysteries,0
101124,Adam (LoM),Lord of the Mysteries,0
105765,Ince Zangwill,Lord of the Mysteries,0
110118,Cohinem,Lord of the Mysteries,0
110799,Father Utravsky,Lord of the Mysteries,0
20749,Franca Roland,Lord of Mysteries 2: Circle of Inevitability,0
31245,Jenna (LoM),Lord of Mysteries 2: Circle of Inevitability,0
57470,Aurore Lee,Lord of Mysteries 2: Circle of Inevitability,0
58679,Lumian Lee,Lord of Mysteries 2: Circle of Inevitability,0
3433,Gloria Martinez,Cyberpunk: Edgerunners,0
4481,Sasha Yakovleva,Cyberpunk: Edgerunners,0
17958,Pilar,Cyberpunk: Edgerunners,0
22827,Faraday,Cyberpunk: Edgerunners,0
23671,Falco (CP),Cyberpunk: Edgerunners,0
36348,James Norris,Cyberpunk: Edgerunners,0
52947,Doc (CP),Cyberpunk: Edgerunners,0
57083,Julio (CP),Cyberpunk: Edgerunners,0
87711,Katsuo Tanaka,Cyberpunk: Edgerunners,0
90145,Jimmy Kurosaki,Cyberpunk: Edgerunners,0
1431,Lee Jihye,Omniscient Reader's Viewpoint,0
2237,Demon,like Judge of Fire  - Omniscient Reader's Viewpoint,0
2734,Yoo Sangah,Omniscient Reader's Viewpoint,0
3686,Jung Heewon,Omniscient Reader's Viewpoint,0
4319,Abyssal Black Flame Dragon,Omniscient Reader's Viewpoint,0
5483,Prisoner of the Golden Headband,Omniscient Reader's Viewpoint,0
5556,Secretive Plotter,Omniscient Reader's Viewpoint,0
5570,Nirvana Moebius,Omniscient Reader's Viewpoint,0
6152,Queen of the Darkest Spring,Omniscient Reader's Viewpoint,0
6670,Lee Seolhwa,Omniscient Reader's Viewpoint,0
6970,Yoo Mia,Omniscient Reader's Viewpoint,0
8004,Kyrgios Rodgraim,Omniscient Reader's Viewpoint,0
8101,Lee Hyunsung,Omniscient Reader's Viewpoint,0
8328,Lee Gilyoung,Omniscient Reader's Viewpoint,0
9647,Father of the Rich Night,Omniscient Reader's Viewpoint,0
10126,Shin Yoosung,Omniscient Reader's Viewpoint,0
12497,Jang Hayoung,Omniscient Reader's Viewpoint,0
12653,Bihyung,Omniscient Reader's Viewpoint,0
12737,Biyoo,Omniscient Reader's Viewpoint,0
14650,Kim Namwoon,Omniscient Reader's Viewpoint,0
15089,Fourth Wall (ORV),Omniscient Reader's Viewpoint,0
15270,Lee Hakhyun,Omniscient Reader's Viewpoint,0
17032,Lee Sookyung,Omniscient Reader's Viewpoint,0
18531,Anna Croft,Omniscient Reader's Viewpoint,0
18745,Scribe of Heaven,Omniscient Reader's Viewpoint,0
20541,Min Jiwon,Omniscient Reader's Viewpoint,0
21992,Jung Youngho,Omniscient Reader's Viewpoint,0
22936,Han Donghoon,Omniscient Reader's Viewpoint,0
23004,Asuka Ren,Omniscient Reader's Viewpoint,0
23436,Goryeo's First Sword,Omniscient Reader's Viewpoint,0
23546,Devil of Lust and Wrath,Omniscient Reader's Viewpoint,0
25027,Breaking the Sky Sword Saint,Omniscient Reader's Viewpoint,0
29008,Han Myungoh,Omniscient Reader's Viewpoint,0
32992,Lily Blooming in Aquarius,Omniscient Reader's Viewpoint,0
35759,Apostle IV,Omniscient Reader's Viewpoint,0
36255,Mark Javier,Omniscient Reader's Viewpoint,0
40137,Eileen Makerfield,Omniscient Reader's Viewpoint,0
42632,Lycaon Isparang,Omniscient Reader's Viewpoint,0
47913,Cheon Inho,Omniscient Reader's Viewpoint,0
49840,Paul (ORV),Omniscient Reader's Viewpoint,0
54891,Gong Pildu,Omniscient Reader's Viewpoint,0
59141,Dokgak,Omniscient Reader's Viewpoint,0
80603,Jung Minseob,Omniscient Reader's Viewpoint,0
84158,Lee Sungkook,Omniscient Reader's Viewpoint,0
24103,Gu Yue Fang Yuan,Reverend Insanity,0
76793,Bai Ning Bing,Reverend Insanity,0
94647,Gu Yue Fang Zheng,Reverend Insanity,0
12777,Sunless,Shadow Slave,0
15725,Nephis,Shadow Slave,0
29545,Cassie (SS),Shadow Slave,0
31615,Effie (SS),Shadow Slave,0
46601,Kai (SS),Shadow Slave,0
1490,Flandre Scarlet,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,0
4578,Ran Yakumo,Touhou Youyoumu ~ Perfect Cherry,0
4614,Alice Margatroid,Touhou Youyoumu ~ Perfect Cherry,0
8737,Tenshi Hinanawi,Touhou Hisouten ~ Scarlet Weather,0
7249,Chen,Touhou Youyoumu ~ Perfect Cherry,0
1216,Marisa Kirisame,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,0
11882,Kanako Yasaka,Touhou Fuujinroku ~ Mountain of Faith,0
6940,suika ibuki,Touhou Suimusou ~ Immaterial and Missing Power,0
5559,Hong Meiling,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,0
11344,Eirin Yagokoro,Touhou Eiyashou ~ Imperishable Night,0
2435,Aya Maruyama,BanG Dream!,0
2611,Still in Love,Umamusume,0
571,Agnes Tachyon,Umamusume,0
1303,Remilia Scarlet,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,0
7228,Clownpiece,Touhou Kanjuden ~ Legacy of Lunatic Kingdom,0
5291,Aya Shameimaru,Touhou Kaeizuka ~ Phantasmagoria of Flower View,0
8226,Kaguya Houraisan,Touhou Eiyashou ~ Imperishable Night,0
6472,Koakuma,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,0
3164,Reisen Udongein Inaba,Touhou Eiyashou ~ Imperishable Night,0
12965,Hina Kagiyama,Touhou Fuujinroku ~ Mountain of Faith,0
8814,Tewi Inaba,Touhou Eiyashou ~ Imperishable Night,0
1545,Patchouli Knowledge,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,0
973,Columbina,Genshin Impact,0
1871,Serie,Sousou no Frieren,0
2960,Kaine,NieR,0
1080,Chun-li,Street Fighter II,0
1576,Yanfei,Genshin Impact,0
13211,Recluse,ELDEN RING NIGHTREIGN,0
1730,Rintarou Okabe,Steins;Gate,0
7912,Galbrena,wuthering waves,0
4288,Carol Olston,Tomo-chan wa Onnanoko!,0
1095,Gardevoir,Pokédex,0
15428,Daiyousei,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,0
15158,Mystia Lorelei,Touhou Eiyashou ~ Imperishable Night,0
11845,Eiki Shiki,Touhou Kaeizuka ~ Phantasmagoria of Flower View,0
26756,Mamizou Futatsuiwa,Touhou Shinreibyou ~ Ten Desires,0
2508,changli,wuthering waves,0
2690,Yun Jin,Genshin Impact,0
1836,La Signora,Genshin Impact,0
14971,Komachi Onozuka,Touhou Kaeizuka ~ Phantasmagoria of Flower View,0
2441,Yukari Yakumo,Touhou Youyoumu ~ Perfect Cherry Blossom,0
15162,Seija Kijin,Touhou Kishinjou ~ Double Dealing Character,0
12766,Byakuren Hijiri,Touhou Seirensen ~ Undefined Fantastic Object,0
6277,Erika,Pokémon Red/Green/Blue/Yellow,0
8097,Nitori Kawashiro,Touhou Fuujinroku ~ Mountain of Faith,0
3465,Youmu Konpaku,Touhou Youyoumu ~ Perfect Cherry Blossom,0
1114,Cirno,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,0
19178,Okina Matara,Touhou Tenkuushou ~ Hidden Star in Four Seasons,0
